country_name,iso3_code,gni_per_capita_usd,price_level_index,ppp_conversion_factor,representative_city,coffee_production_qty,coffee_export_value_usd1000,purchasing_power_ratio,living_affordability_score
Togo,TGO,1190.0,33.0998917479879,200.773930626041,Lome,,,35.95,1.83
Thailand,THA,7210.0,30.5552456853677,10.633894352836,Bangkok,,,235.97,17.64
Tajikistan,TJK,1400.0,23.7229715093518,2.57264357607453,Dushanbe,,,59.01,3.65
Turkmenistan,TKM,4830.0,26.9714339844827,1.46333407197075,Ashgabat,,,179.08,13.14
Latin America & the Caribbean (IDA & IBRD countries),TLA,9225.83603107864,,,,,,,
Timor-Leste,TLS,1900.0,31.2300787818626,0.312300787818626,Dili,,,60.84,3.79
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2934.89438772635,,,,,,,
Tonga,TON,5910.0,72.3626105008964,1.70893132936348,Nuku'alofa,,,81.67,5.44
South Asia (IDA & IBRD),TSA,2524.90860221655,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1769.65752258208,,,,,,,
Trinidad and Tobago,TTO,19880.0,52.8353428581088,3.56652407152063,Port-of-Spain,,,376.26,28.73
Tunisia,TUN,3850.0,28.1174878905953,0.873376130086666,Tunis,,,136.93,9.81
Turkiye,TUR,11980.0,30.963492066033,7.350289,Ankara,,,386.91,29.57
Tuvalu,TUV,7520.0,87.1266509960929,1.3114225093946,Funafuti,,,86.31,5.81
Tanzania,TZA,1220.0,30.4339722224229,725.254517758729,Dodoma,,,40.09,2.15
Uganda,UGA,970.0,32.3305695570715,1213.19719403414,Kampala,,,30.0,1.35
Ukraine,UKR,4980.0,29.0702842016071,10.6321099289501,Kiev,,,171.31,12.52
Uruguay,URY,20070.0,67.6745680532807,26.2739181311142,Montevideo,,,296.57,22.43
United States,USA,79950.0,100.0,1.0,Washington D.C.,,,799.5,62.18
Uzbekistan,UZB,2880.0,25.8247598536574,3030.49254994173,Tashkent,,,111.52,7.8
St. Vincent and the Grenadines,VCT,10210.0,53.3487411173815,1.4404160101693,Kingstown,,,191.38,14.11
"Venezuela, RB",VEN,3040.0,,,Caracas,,,,
,VIR,,89.0243717259396,0.890243717259396,Charlotte Amalie,,,,
Viet Nam,VNM,4140.0,28.7538544981041,6839.77114227882,Hanoi,,,143.98,10.36
Vanuatu,VUT,4210.0,88.252226069447,105.11943277697,Port-Vila,,,47.7,2.75
World,WLD,13335.8070349419,,,,,,,
Samoa,WSM,4800.0,58.7951820962513,1.6054012712345,Apia,,,81.64,5.44
Kosovo,XKX,6290.0,39.3258006102926,0.363700560729297,Pristina,,,159.95,11.63
"Yemen, Rep.",YEM,740.0,,,Sana'a,,,,
South Africa,ZAF,6490.0,39.6671612830282,7.31868804459223,Pretoria,,,163.61,11.92
Zambia,ZMB,1270.0,32.6130364048754,6.59175278849996,Lusaka,,,38.94,2.06
Zimbabwe,ZWE,2550.0,37.8748900885945,0.713312954994536,Harare,,,67.33,4.31
