country_name,iso3_code,gni_per_capita_usd,price_level_index,ppp_conversion_factor
Honduras,HND,2870.0,44.9240365903047,11.0520529000976
Heavily indebted poor countries (HIPC),HPC,1116.96988195984,,
Croatia,HRV,20800.0,46.4482231390444,0.429571541796623
Haiti,HTI,1740.0,51.5166994121142,72.6227604240472
Hungary,HUN,19820.0,47.8880373655318,169.087073
IBRD only,IBD,7960.75629688099,,
IDA & IBRD total,IBT,6197.95279702489,,
IDA total,IDA,1615.9453610562,,
IDA blend,IDB,2116.92162516463,,
Indonesia,IDN,4810.0,31.6060240664601,4815.77343325049
IDA only,IDX,1347.70089349181,,
Isle of Man,IMN,87030.0,,
India,IND,2490.0,24.7075775526336,20.4553387219722
Ireland,IRL,79280.0,80.0498846766681,0.740333
"Iran, Islamic Rep.",IRN,5070.0,26.6697499483383,94280.2670719049
Iraq,IRQ,5920.0,40.6783620834452,535.22554911293
Iceland,ISL,80870.0,99.932848015549,137.850321
Israel,ISR,54480.0,94.258761857557,3.456822
Italy,ITA,38750.0,65.0868569025502,0.601949
Jamaica,JAM,6860.0,59.5703380894227,91.8329135889699
Jordan,JOR,4890.0,42.847076985568,0.304214246597533
Japan,JPN,40740.0,66.7883851420938,93.831737
Kazakhstan,KAZ,10710.0,33.4123312887131,152.415361023158
Kenya,KEN,2110.0,30.7262343181437,42.969527633291
Kyrgyz Republic,KGZ,1840.0,29.2742664831786,25.7192364470372
Cambodia,KHM,2390.0,32.6717193050405,1343.02092677806
Kiribati,KIR,3710.0,62.4010320960421,0.939254719016737
St. Kitts and Nevis,KNA,21870.0,66.3878079206748,1.79247081385822
"Korea, Rep.",KOR,38020.0,62.1177403808411,811.048042
Kuwait,KWT,42040.0,64.2234318161369,0.1972847490244
Latin America & Caribbean (excluding high income),LAC,8820.79173357848,,
Lao PDR,LAO,2110.0,22.2265880477604,3931.63306336066
Lebanon,LBN,3710.0,27.6334553377772,23717.2420473074
Liberia,LBR,710.0,44.4982686863957,0.444982686863957
Libya,LBY,6160.0,43.4860809783091,2.09293419877127
St. Lucia,LCA,12440.0,51.8651522994159,1.40035911208423
Latin America & Caribbean,LCN,9361.77751679319,,
Least developed countries: UN classification,LDC,1281.91818877729,,
Sri Lanka,LKA,3550.0,26.2911911753459,86.1123421783246
Low & middle income,LMY,5824.67467828403,,
Lesotho,LSO,1260.0,31.9987775278415,5.90385253090393
Late-demographic dividend,LTE,12655.6594921693,,
Lithuania,LTU,25360.0,53.0791525409813,0.490897
Luxembourg,LUX,88480.0,87.3093059876486,0.807471
Latvia,LVA,21000.0,53.081423205099,0.490918
"Macao SAR, China",MAC,64780.0,57.7339035490199,4.65530980538132
Morocco,MAR,3780.0,38.5115707807778,3.90232278078571
Moldova,MDA,6250.0,38.3063229590448,6.95793675236067
Madagascar,MDG,510.0,28.3997781586705,1257.99067013858
Maldives,MDV,11130.0,50.7429315985923,7.8077103546363
"Middle East, North Africa, Afghanistan & Pakistan",MEA,6297.96049962516,,
Mexico,MEX,11990.0,54.9097550234062,9.751268
Marshall Islands,MHL,7960.0,90.3555645265736,0.903555645265736
Middle income,MIC,6447.64172087995,,
North Macedonia,MKD,7940.0,34.2127835984905,19.4832195643769
Mali,MLI,1010.0,32.7975479026293,198.940004319109
Malta,MLT,35720.0,61.0012675823155,0.564163853769816
Myanmar,MMR,1220.0,20.6972468928922,434.642184750736
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2945.62808853381,,
Montenegro,MNE,11560.0,38.4716086443108,0.355800655522619
Mongolia,MNG,4870.0,32.4013936040264,1122.94693630791
Mozambique,MOZ,540.0,37.0305855747945,23.6572980592353
Mauritania,MRT,2140.0,30.523008509121,11.1785431496469
Mauritius,MUS,12530.0,38.3293941808412,17.3506531049783
Malawi,MWI,620.0,34.5646281740668,401.327950703585
Malaysia,MYS,11700.0,31.1972372330574,1.42278837661538
North America,NAC,77344.8816877431,,
Namibia,NAM,4310.0,37.5716879759727,6.93058928484689
New Caledonia,NCL,36710.0,,
Niger,NER,640.0,34.0532450461306,206.556683343202
Nigeria,NGA,2590.0,24.5505132509298,158.178769064314
Nicaragua,NIC,2360.0,31.337763322898,11.4198551277581
Netherlands,NLD,62550.0,79.0077579735308,0.730695
Norway,NOR,101840.0,84.4262006942256,8.918221
Nepal,NPL,1430.0,25.6013207154076,33.4724567538748
Naoero,NRU,22370.0,103.269686960238,1.53436035491782
New Zealand,NZL,49470.0,89.7226782387982,1.461074
OECD members,OED,46560.4963859771,,
Oman,OMN,19950.0,50.0903764339347,0.192597497388479
Other small states,OSS,14577.798764917,,
Pakistan,PAK,1450.0,22.6007022287252,56.15218757235
Panama,PAN,17830.0,47.1743398563755,0.471743398563755
Peru,PER,7100.0,46.4689999107822,1.73971850059984
Philippines,PHL,4320.0,34.5986617682061,19.2473611347953
Palau,PLW,14750.0,85.065986296197,0.85065986296197
Papua New Guinea,PNG,2800.0,63.4822695364783,2.27877414820342
Poland,POL,19890.0,45.6856870982025,1.920474
Pre-demographic dividend,PRE,1629.53112860082,,
Puerto Rico (US),PRI,25290.0,77.7191744434403,0.777191744434403
Portugal,PRT,26340.0,55.490814087648,0.513201
Paraguay,PRY,6200.0,35.844402509728,2612.65263745484
West Bank and Gaza,PSE,4450.0,58.3864805636319,0.583864805636319
Pacific island small states,PSS,4356.96814147791,,
Post-demographic dividend,PST,54261.6584638305,,
French Polynesia,PYF,24370.0,,
Qatar,QAT,79430.0,62.1553920678368,2.26245627126926
Romania,ROU,16590.0,39.6776185948663,1.81497330738497
Russian Federation,RUS,14400.0,31.5742959179996,26.8893044156305
Rwanda,RWA,1030.0,30.152954087602,349.804026572691
South Asia,SAS,2524.90860221655,,
Saudi Arabia,SAU,36330.0,50.4816326565955,1.89306122462233
Sudan,SDN,660.0,32.9095163422373,217.064587890129
Senegal,SEN,1620.0,35.5121883432759,215.406192053338
Singapore,SGP,69530.0,59.6860042148137,0.801443968215127
Solomon Islands,SLB,1980.0,72.4362183095765,6.06696572765034
Sierra Leone,SLE,870.0,22.4950489640751,4.792542062985
El Salvador,SLV,4930.0,41.9951346710945,0.419951346710945
San Marino,SMR,53910.0,75.9688772792505,0.702590229204567
"Somalia, Fed. Rep.",SOM,600.0,38.3382954872091,10428.4189246235
Serbia,SRB,10750.0,41.2456544508145,44.7113997577007
Sub-Saharan Africa (excluding high income),SSA,1768.27145267264,,
,SSD,,66.6367243015678,126.743049621582
Sub-Saharan Africa,SSF,1769.65752258208,,
Small states,SST,13759.3611738674,,
Sao Tome and Principe,STP,2810.0,48.5887264965472,11.0920118334835
Suriname,SUR,5210.0,26.136317746715,9.61185797595566
Slovak Republic,SVK,22710.0,53.6685520698049,0.496348
Slovenia,SVN,31020.0,58.1657645450991,0.53794
Sweden,SWE,60540.0,80.2687231792261,8.516641
Eswatini,SWZ,3750.0,33.2076733153706,6.12800854631137
Sint Maarten (Dutch part),SXM,38260.0,76.2659824546408,1.36516108593807
Seychelles,SYC,16340.0,56.846274704358,7.96877388742183
Syrian Arab Republic,SYR,720.0,21.5443381716821,807.95702765744
Turks and Caicos Islands,TCA,36060.0,100.295056929768,1.00295056929768
Chad,TCD,910.0,35.1449071325721,213.178375331775
East Asia & Pacific (IDA & IBRD countries),TEA,10784.8916488508,,
Europe & Central Asia (IDA & IBRD countries),TEC,11462.9050001804,,
Togo,TGO,1190.0,33.0998917479879,200.773930626041
Thailand,THA,7210.0,30.5552456853677,10.633894352836
Tajikistan,TJK,1400.0,23.7229715093518,2.57264357607453
Turkmenistan,TKM,4830.0,26.9714339844827,1.46333407197075
Latin America & the Caribbean (IDA & IBRD countries),TLA,9225.83603107864,,
Timor-Leste,TLS,1900.0,31.2300787818626,0.312300787818626
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2934.89438772635,,
Tonga,TON,5910.0,72.3626105008964,1.70893132936348
South Asia (IDA & IBRD),TSA,2524.90860221655,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1769.65752258208,,
Trinidad and Tobago,TTO,19880.0,52.8353428581088,3.56652407152063
Tunisia,TUN,3850.0,28.1174878905953,0.873376130086666
Turkiye,TUR,11980.0,30.963492066033,7.350289
Tuvalu,TUV,7520.0,87.1266509960929,1.3114225093946
Tanzania,TZA,1220.0,30.4339722224229,725.254517758729
Uganda,UGA,970.0,32.3305695570715,1213.19719403414
Ukraine,UKR,4980.0,29.0702842016071,10.6321099289501
Uruguay,URY,20070.0,67.6745680532807,26.2739181311142
United States,USA,79950.0,100.0,1.0
Uzbekistan,UZB,2880.0,25.8247598536574,3030.49254994173
St. Vincent and the Grenadines,VCT,10210.0,53.3487411173815,1.4404160101693
"Venezuela, RB",VEN,3040.0,,
,VIR,,89.0243717259396,0.890243717259396
Viet Nam,VNM,4140.0,28.7538544981041,6839.77114227882
Vanuatu,VUT,4210.0,88.252226069447,105.11943277697
World,WLD,13335.8070349419,,
Samoa,WSM,4800.0,58.7951820962513,1.6054012712345
Kosovo,XKX,6290.0,39.3258006102926,0.363700560729297
"Yemen, Rep.",YEM,740.0,,
South Africa,ZAF,6490.0,39.6671612830282,7.31868804459223
Zambia,ZMB,1270.0,32.6130364048754,6.59175278849996
Zimbabwe,ZWE,2550.0,37.8748900885945,0.713312954994536
